ALUNO;ANO;PEDRA;DESTAQUE_IPV;DESTAQUE_IDA;TURMA;ANOS_PM;REC_EQUIPE_4;REC_EQUIPE_2;SINALIZADOR_INGRESSANTE;DESTAQUE_IEG;REC_EQUIPE_3;NOTA_MAT;CF;REC_AVA_3;CT;INDICADO_BOLSA;IDADE_ALUNO;BOLSISTA;IPV;IAA;IAN;FASE_TURMA;IPP;DEFASAGEM;REC_EQUIPE_1;REC_AVA_4;INSTITUICAO_ENSINO_ALUNO;IDA;NOTA_PORT;NOTA_ING;IPS;ANO_INGRESSO;QTD_AVAL;IEG;PONTO_VIRADA;REC_AVA_2;NIVEL_IDEAL;INDE;CG;INDE_CONCEITO;FASE;REC_AVA_1
ALUNO-265;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-266;2020;Ametista;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;1;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;9;;8;8.500020000000001;10;1B;8.4375;;;;Escola Pública;8.5;;;5.625;;;8.9;Não;;;8.336252;;B;;
ALUNO-266;2021;Ametista;;;B;;Não avaliado;Promovido de Fase;Veterano;;Mantido na Fase atual;;;;;;;;8.0;9.0;10.0;;7.5;0.0;Mantido na Fase atual;;Escola Pública;6.8;;;6.3;;;8.3;Não;;Nível 2 (5o e 6o ano);7.892;;;2.0;
ALUNO-266;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;D;;;;;Destaque: A sua boa entrega das lições de casa.;;6.67;31.0;Promovido de Fase;4.0;Não;;Não;8.39;9.0;10.0;;6.67;;;;;7.0;7.33;nan;5.62;2019.0;3.0;8.14;Sim;Mantido na Fase atual;Fase 2 (5º e 6º ano);7.83;191.0;;2.0;Promovido de Fase
ALUNO-267;2020;Ametista;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;2;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;14;;9.777786666666666;9.16668;5;3J;8.958333333333334;;;;Rede Decisão/União;8;;;5.625;;;9.7;Sim;;;8.370558666666668;;B;;
ALUNO-267;2021;Ametista;;;G;;Promovido de Fase;Promovido de Fase + Bolsa;Ingressante;;Promovido de Fase + Bolsa;;;;;;;;8.6;9.2;5.0;;8.3;-1.0;Promovido de Fase + Bolsa;;Rede Decisão;8.2;;;6.3;;;8.9;Não;;Nível 5 (1o EM);8.014;;;4.0;
ALUNO-267;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;P;;;;;Destaque: A sua boa entrega das lições de casa.;;8.0;19.0;Promovido de Fase;3.0;Não;;Sim;7.83;9.17;5.0;;7.34;;;Promovido de Fase;;7.87;9.33;6.27;5.62;2018.0;4.0;9.72;Não;Mantido na Fase atual;Fase 6 (2º EM);7.8;200.0;;4.0;Promovido de Fase + Bolsa
ALUNO-268;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-268;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-268;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;B;;;;;Destaque: A sua boa entrega das lições de casa.;;7.0;40.0;;2.0;Não;;Não;9.5;9.0;5.0;;5.62;;;;;7.25;7.5;nan;6.88;2022.0;2.0;10.0;Sim;Mantido na Fase atual;Fase 1 (4º ano);8.0;143.0;;0.0;Mantido na Fase atual
ALUNO-269;2020;Ágata;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;1;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;11;;7.5;7.50002;5;1J;7.291666666666667;;;;Escola Pública;5.75;;;7.5;;;8.6;Não;;;7.099168666666667;;C;;
ALUNO-269;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-269;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
