ALUNO;ANO;PEDRA;DESTAQUE_IPV;DESTAQUE_IDA;TURMA;ANOS_PM;REC_EQUIPE_4;REC_EQUIPE_2;SINALIZADOR_INGRESSANTE;DESTAQUE_IEG;REC_EQUIPE_3;NOTA_MAT;CF;REC_AVA_3;CT;INDICADO_BOLSA;IDADE_ALUNO;BOLSISTA;IPV;IAA;IAN;FASE_TURMA;IPP;DEFASAGEM;REC_EQUIPE_1;REC_AVA_4;INSTITUICAO_ENSINO_ALUNO;IDA;NOTA_PORT;NOTA_ING;IPS;ANO_INGRESSO;QTD_AVAL;IEG;PONTO_VIRADA;REC_AVA_2;NIVEL_IDEAL;INDE;CG;INDE_CONCEITO;FASE;REC_AVA_1
ALUNO-614;2020;Quartzo;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;16;;6.9999975;0;10;6B;7.5;;;;Escola Pública;5.333333333333333;;;6.875;;;3;Não;;;5.504166166666667;;D;;
ALUNO-614;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-614;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-615;2020;Topázio;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;1;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;8;;9.833345;9.000020000000001;10;0B;10;;;;Escola Pública;10;;;7.5;;;10;Sim;;;9.616671;;A;;
ALUNO-615;2021;Topázio;;;B;;Não avaliado;Mantido na Fase atual;Veterano;;Mantido na Fase atual;;;;;;;;8.7;9.0;10.0;;7.5;0.0;Promovido de Fase;;Escola Pública;7.4;;;7.5;;;8.8;Não;;Nível 1 (4o ano);8.358;;;1.0;
ALUNO-615;2022;Topázio;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;E;;;;;Destaque: A sua boa entrega das lições de casa.;;8.83;9.0;Promovido de Fase;1.0;Sim;;Não;9.06;10.0;5.0;;6.88;;;;;8.92;9.0;nan;7.5;2019.0;3.0;9.03;Sim;Mantido na Fase atual;Fase 2 (5º e 6º ano);8.34;56.0;;1.0;Promovido de Fase + Bolsa
ALUNO-616;2020;Ametista;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;1;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;18;;8.41667;10.000020000000001;5;7B;8.75;;;;Escola Pública;6;;;7.5;;;8.7;Não;;;7.748336;;B;;
ALUNO-616;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-616;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-617;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-617;2021;Topázio;;;T;;Não avaliado;Promovido de Fase;Ingressante;;Não avaliado;;;;;;;;9.7;9.0;10.0;;8.1;0.0;Promovido de Fase;;Escola Pública;5.9;;;7.5;;;10.0;Sim;;ALFA  (2o e 3o ano);8.583;;;0.0;
ALUNO-617;2022;Ametista;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;B;;;;;Destaque: A sua boa entrega das lições de casa.;;5.67;48.0;Mantido na Fase atual;8.0;Não;;Não;7.33;8.5;10.0;;6.04;;;;;6.83;8.0;nan;7.5;2021.0;3.0;8.78;Não;Promovido de Fase;Fase 1 (4º ano);7.79;201.0;;1.0;Mantido na Fase atual
ALUNO-618;2020;Quartzo;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;3;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;16;;7.055549999999999;9.500020000000001;2.5;2G;6.666666666666666;;;;Escola Pública;0;;;4.375;;;4;Não;;;4.515278666666667;;D;;
ALUNO-618;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-618;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-619;2020;Ametista;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;1;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;10;;7.61111;9.000020000000001;10;2N;7.291666666666667;;;;Escola Pública;4.5;;;7.5;;;9.7;Não;;;7.741390666666668;;B;;
ALUNO-619;2021;Ágata;;;N;;Não avaliado;Mantido na Fase atual;Veterano;;Mantido na Fase atual;;;;;;;;7.2;7.9;10.0;;7.7;0.0;Mantido na Fase atual;;Escola Pública;4.6;;;7.5;;;5.0;Não;;Nível 2 (5o e 6o ano);6.682;;;2.0;
ALUNO-619;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-620;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-620;2021;Quartzo;;;C;;Não avaliado;Não avaliado;Ingressante;;Mantido na Fase atual;;;;;;;;4.1;0.0;5.0;;6.3;-1.0;Mantido na Fase atual;;Escola Pública;0.0;;;7.5;;;1.3;Não;;Nível 2 (5o e 6o ano);2.942;;;1.0;
ALUNO-620;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-621;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-621;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-621;2022;Ágata;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;F;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;7.2;168.0;;8.0;Não;;Não;6.33;9.5;5.0;;5.0;;;;;7.1;7.0;nan;7.5;2022.0;2.0;6.24;Não;Mantido na Fase atual;Fase 2 (5º e 6º ano);6.63;614.0;;0.0;Mantido na Fase atual
ALUNO-622;2020;Ágata;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;12;;5.611103333333335;10.000020000000001;10;3H;7.083333333333334;;;;Escola Pública;5.333333333333333;;;7.5;;;4.2;Não;;;6.487222666666668;;C;;
ALUNO-622;2021;Quartzo;;;F;;Não avaliado;Mantido na Fase atual;Veterano;;Mantido na Fase atual;;;;;;;;4.5;10.0;10.0;;6.9;0.0;Mantido na Fase atual;;Escola Pública;0.7;;;7.5;;;3.6;Não;;Nível 3 (7o e 8o ano);5.193;;;3.0;
ALUNO-622;2022;Quartzo;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;G;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;1.17;143.0;Mantido na Fase atual;14.0;Não;;Não;3.88;9.17;5.0;;5.94;;;Alocado em Fase anterior;;0.89;1.33;0.17;7.5;2018.0;4.0;2.82;Não;Mantido na Fase atual;Fase 4 (9º ano);4.28;850.0;;3.0;Mantido na Fase atual
ALUNO-623;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-623;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-623;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;N;;;;;Destaque: A sua boa entrega das lições de casa.;;4.33;37.0;Promovido de Fase;4.0;Não;;Não;7.5;9.17;10.0;;6.88;;;;;5.22;6.33;5.0;7.5;2022.0;3.0;7.75;Não;Mantido na Fase atual;Fase 3 (7º e 8º ano);7.45;336.0;;3.0;Promovido de Fase
ALUNO-624;2020;Quartzo;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;1;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;15;;5.444433333333334;7.5;5;3H;6.249999999999999;;;;Escola Pública;6.666666666666667;;;2.5;;;3.4;Não;;;5.227220000000001;;D;;
ALUNO-624;2021;Ágata;;;F;;Não avaliado;Mantido na Fase atual;Veterano;;Mantido na Fase atual;;;;;;;;6.5;7.1;2.5;;7.1;-3.0;Promovido de Fase;;Escola Pública;5.1;;;7.5;;;5.0;Não;;Nível 6 (2o EM);5.742;;;3.0;
ALUNO-624;2022;Quartzo;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;F;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;2.67;75.0;Promovido de Fase;15.0;Não;;Não;3.92;7.08;2.5;;5.0;;;Alocado em Fase anterior;;1.44;1.67;0.0;5.0;2019.0;4.0;3.54;Não;Mantido na Fase atual;Fase 7 (3º EM);3.74;858.0;;4.0;Mantido na Fase atual
ALUNO-625;2020;Quartzo;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;1;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;12;;8;8.500020000000001;5;1F;7.5;;;;Escola Pública;0;;;6.25;;;7.3;Não;;;5.785002;;D;;
ALUNO-625;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-625;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-626;2020;Ágata;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;3;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;13;;7.0416675;7.91667;10;3M;7.65625;;;;Escola Pública;5.666666666666667;;;7.5;;;6;Não;;;7.048958833333334;;C;;
ALUNO-626;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-626;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-627;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-627;2021;Ametista;;;S;;Não avaliado;Mantido na Fase atual;Ingressante;;Não avaliado;;;;;;;;8.0;8.0;5.0;;7.5;-1.0;Mantido na Fase atual;;Escola Pública;6.9;;;7.5;;;8.3;Não;;Nível 1 (4o ano);7.442;;;0.0;
ALUNO-627;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-628;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-628;2021;Ametista;;;O;;Não avaliado;Mantido na Fase atual;Ingressante;;Não avaliado;;;;;;;;8.4;9.0;5.0;;7.5;-2.0;Mantido na Fase atual;;Escola Pública;5.9;;;7.5;;;8.3;Não;;Nível 2 (5o e 6o ano);7.438;;;0.0;
ALUNO-628;2022;Topázio;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;L;;;;;Destaque: A sua boa entrega das lições de casa.;;8.17;25.0;;2.0;Não;;Não;8.92;9.0;5.0;;6.56;;;;;8.75;9.33;nan;7.5;2021.0;2.0;9.16;Sim;Promovido de Fase;Fase 2 (5º e 6º ano);8.17;94.0;;0.0;Promovido de Fase
ALUNO-629;2020;Ágata;;Seu destaque em 2020: As suas boas notas na Faculdade.;;2;;;;Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.;;;;;;;19;;0;9.16668;10;8A;0;;;;FIAP;9;;;7.5;;;0;;;;7.016667999999999;;C;;
ALUNO-629;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-629;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-630;2020;Ágata;;Seu destaque em 2020: As suas boas notas na Faculdade.;;2;;;;Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.;;;;;;;18;;0;8.75001;10;8A;0;;;;FIAP;9.1;;;6.875;;;0;;;;6.890001000000001;;C;;
ALUNO-630;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-630;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-631;2020;Ágata;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;12;;7.555549999999998;9.500020000000001;5;2R;6.041666666666667;;;;Escola Pública;3.5;;;3.125;;;8.5;Não;;;6.277778666666666;;C;;
ALUNO-631;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-631;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-632;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-632;2021;Ágata;;;S;;Não avaliado;Não avaliado;Ingressante;;Não avaliado;;;;;;;;6.5;9.0;5.0;;7.5;-2.0;Mantido na Fase atual;;Escola Pública;3.4;;;7.5;;;5.0;Não;;Nível 2 (5o e 6o ano);5.888;;;0.0;
ALUNO-632;2022;Quartzo;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;N;;;;;Destaque: A sua boa entrega das lições de casa.;;0.0;178.0;Mantido na Fase atual;9.0;Não;;Não;7.28;7.42;5.0;;6.04;;;;;1.25;2.5;nan;7.5;2021.0;3.0;7.58;Não;Mantido na Fase atual;Fase 2 (5º e 6º ano);5.82;748.0;;1.0;Mantido na Fase atual
ALUNO-633;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-633;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-633;2022;Ágata;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;J;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;9.5;135.0;Mantido na Fase atual;11.0;Não;;Não;6.94;9.5;5.0;;5.83;;;;;7.5;5.5;nan;5.0;2022.0;3.0;7.19;Não;Mantido na Fase atual;Fase 2 (5º e 6º ano);6.86;534.0;;1.0;Mantido na Fase atual
ALUNO-634;2020;Ágata;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;2;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;12;;6.58333;6.9166799999999995;5;1D;2.8125;;;;Escola João Paulo II;7.5;;;4.375;;;7.1;Não;;;6.1470839999999995;;C;;
ALUNO-634;2021;Quartzo;;;A;;Não avaliado;Mantido na Fase atual;Veterano;;Mantido na Fase atual;;;;;;;;3.3;6.3;5.0;;4.4;-2.0;Não avaliado;;Escola JP II;2.4;;;6.3;;;2.1;Não;;Nível 3 (7o e 8o ano);3.754;;;1.0;
ALUNO-634;2022;Quartzo;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;A;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;5.67;153.0;Mantido na Fase atual;13.0;Não;;Sim;6.72;8.0;5.0;;4.79;;;;;2.92;0.17;nan;3.75;2018.0;3.0;5.83;Não;Promovido de Fase;Fase 4 (9º ano);5.25;807.0;;2.0;Mantido na Fase atual
ALUNO-635;2020;Quartzo;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;3;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;15;;5.083325;6.25001;10;5G;7.1875;;;;Escola Pública;4.333333333333333;;;4.375;;;6.7;Não;;;6.004582666666666;;D;;
ALUNO-635;2021;Quartzo;;;F;;Mantido na Fase atual;Mantido na Fase atual;Veterano;;Promovido de Fase;;;;;;;;4.0;4.6;5.0;;5.9;-1.0;Mantido na Fase atual;;Escola Pública;4.8;;;5.0;;;3.3;Não;;Nível 6 (2o EM);4.494;;;5.0;
ALUNO-635;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-636;2020;Quartzo;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;1;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;16;;5.611113333333333;7.08334;5;5A;6.875;;;;Escola Pública;6;;;7.5;;;3.7;Não;;;5.708056666666667;;D;;
ALUNO-636;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-636;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-637;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-637;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-637;2022;Ágata;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;P;;;;;Destaque: A sua boa entrega das lições de casa.;;7.5;79.0;Mantido na Fase atual;7.0;Não;;Não;7.5;9.0;5.0;;6.46;;;;;3.75;0.0;nan;7.5;2022.0;3.0;9.39;Não;Promovido de Fase;Fase 3 (7º e 8º ano);6.92;518.0;;2.0;Mantido na Fase atual
ALUNO-638;2020;Ágata;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;1;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;13;;6.08333;9.000020000000001;5;1G;2.5;;;;Escola Pública;8.5;;;5;;;9.2;Não;;;6.906668;;C;;
ALUNO-638;2021;Ágata;;;I;;Não avaliado;Promovido de Fase;Veterano;;Mantido na Fase atual;;;;;;;;7.7;8.5;5.0;;7.5;-2.0;Mantido na Fase atual;;Escola Pública;6.1;;;6.9;;;6.3;Não;;Nível 4 (9o ano);6.783;;;2.0;
ALUNO-638;2022;Quartzo;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;G;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;3.67;142.0;Mantido na Fase atual;13.0;Não;;Não;3.75;9.17;5.0;;5.62;;;Alocado em Fase anterior;;1.78;1.0;0.67;5.0;2019.0;4.0;3.64;Não;Mantido na Fase atual;Fase 5 (1º EM);4.31;847.0;;3.0;Mantido na Fase atual
ALUNO-639;2020;Quartzo;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;1;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;11;;6.888883333333332;7.91668;10;2F;7.083333333333333;;;;Escola Pública;1.5;;;7.5;;;5.7;Não;;;6.067778;;D;;
ALUNO-639;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-639;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-640;2020;Ágata;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;1;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;18;;8.41667;8.33334;5;7B;8.59375;;;;Escola Pública;4.666666666666667;;;7.5;;;8;Não;;;7.159376333333334;;C;;
ALUNO-640;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-640;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-641;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-641;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-641;2022;Ágata;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;U;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;3.67;125.0;Mantido na Fase atual;13.0;Não;;Não;6.72;9.5;5.0;;6.04;;;;;4.08;4.5;nan;7.5;2022.0;3.0;6.74;Não;Mantido na Fase atual;Fase 3 (7º e 8º ano);6.31;682.0;;2.0;Mantido na Fase atual
ALUNO-642;2020;Ametista;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;1;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;9;;7.277776666666666;7.50002;10;1N;7.083333333333334;;;;Escola Pública;10;;;7.5;;;6.7;Não;;;8.003890666666667;;B;;
ALUNO-642;2021;Ametista;;;C;;Não avaliado;Mantido na Fase atual;Veterano;;Promovido de Fase;;;;;;;;8.2;8.5;5.0;;6.9;-1.0;Alocado em Fase anterior;;Escola Pública;6.4;;;6.3;;;7.5;Não;;Nível 2 (5o e 6o ano);7.082;;;1.0;
ALUNO-642;2022;Ágata;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;D;;;;;Destaque: A sua boa entrega das lições de casa.;;9.17;132.0;Promovido de Fase;11.0;Sim;;Não;8.06;0.0;5.0;;6.46;;;;;9.08;9.0;nan;5.0;2019.0;3.0;9.37;Não;Mantido na Fase atual;Fase 2 (5º e 6º ano);6.95;507.0;;1.0;Promovido de Fase + Bolsa
ALUNO-643;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-643;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-643;2022;Topázio;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;L;;;;;Destaque: A sua boa entrega das lições de casa.;;7.5;36.0;;3.0;Não;;Não;8.25;10.0;5.0;;6.56;;;;;8.17;8.83;nan;7.5;2022.0;2.0;9.35;Não;Promovido de Fase;Fase 1 (4º ano);8.06;130.0;;0.0;Promovido de Fase
ALUNO-644;2020;Topázio;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;2;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;10;;9.000005;9.500020000000001;5;1B;7.8125;;;;Escola Pública;10;;;8.75;;;8.6;Sim;;;8.626253;;A;;
ALUNO-644;2021;Topázio;;;A;;Não avaliado;Promovido de Fase + Bolsa;Veterano;;Promovido de Fase;;;;;;;;9.7;10.0;10.0;;8.5;0.0;Promovido de Fase;;Rede Decisão;9.4;;;5.0;;;10.0;Sim;;Nível 2 (5o e 6o ano);9.163;;;2.0;
ALUNO-644;2022;Topázio;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;A;;;;;Destaque: A sua boa entrega das lições de casa.;;8.33;11.0;Promovido de Fase;3.0;Não;;Sim;8.63;9.17;10.0;;8.91;;;Promovido de Fase + Bolsa;;8.11;7.67;8.33;6.25;2018.0;4.0;8.31;Sim;Promovido de Fase;Fase 3 (7º e 8º ano);8.44;42.0;;3.0;Promovido de Fase + Bolsa
ALUNO-645;2020;Topázio;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;0;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;8;;6.500005;9.000020000000001;10;0A;7.5;;;;Escola Pública;9.5;;;7.5;;;10;Não;;;8.600003000000001;;A;;
ALUNO-645;2021;Ágata;;;J;;Não avaliado;Mantido na Fase atual;Veterano;;Não avaliado;;;;;;;;6.2;10.0;5.0;;7.5;-1.0;Promovido de Fase;;Escola Pública;5.3;;;7.5;;;6.7;Não;;Nível 1 (4o ano);6.633;;;0.0;
ALUNO-645;2022;Quartzo;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;A;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;1.33;191.0;Mantido na Fase atual;14.0;Não;;Não;5.44;9.5;5.0;;4.17;;;;;1.17;1.0;nan;7.5;2020.0;3.0;4.02;Não;Mantido na Fase atual;Fase 2 (5º e 6º ano);4.74;837.0;;1.0;Mantido na Fase atual
ALUNO-646;2020;Ametista;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;1;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;11;;6.75;8.000020000000001;10;2D;5.3125;;;;Escola Pública;8.5;;;7.5;;;8.4;Não;;;7.811252000000001;;B;;
ALUNO-646;2021;Ametista;;;D;;Não avaliado;Mantido na Fase atual;Veterano;;Mantido na Fase atual;;;;;;;;7.8;9.0;5.0;;7.7;-1.0;Mantido na Fase atual;;Escola Pública;6.6;;;7.5;;;7.9;Não;;Nível 3 (7o e 8o ano);7.396;;;2.0;
